Label,Text,Option1,Option2,Option3,Option4
biology,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",fluxes,aphids,Soil,decomposers
biology,What is a group of neuron cell bodies in the periphery called?,gangism,crystals,organism,ganglion
biology,Where does most of our food come from?,gymnosperms,microbes,lichen,angiosperms
biology,What is the name of the small bumps that contain taste buds and covers the tongue?,cuticle,lingual tonsils,palatine tonsils,papillae
biology,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,moderate permeability,periodic permeability,total permeability,selective permeability
biology,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",oxygen molecules,lipid molecules,protein molecules,carbohydrate molecules
biology,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession
biology,What are the only truly innate behaviors in humans called?,feats,automatic movements,flinches,reflexes
biology,Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,photosynthesis,reproduction,metabolism,respiration
biology,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,formation extinction,minor extinction,moderate extinction,mass extinction
biology,"When populations get close to the carrying capacity, what happens to growth?",spikes,halts,dies,slows
biology,"Most plants grow continuously, except for what periods?",winter,abnormal,mutant,dormant
biology,"What are the long, thin protein extensions in most prokaryotic cells called?",neutrons,analyte,cingulum,flagellum
biology,Dialysis is a treatment for failure of what organs?,spleen,lungs,liver,kidneys
biology,What preventive measure can protect even young children against diseases such as viral meningitis?,malnutrition,nutrition,surgical intervention,vaccination
biology,Renal plasma flow equals the blood flow per minute times the what?,hemoglobin,erythrocytes,leukocytes,hematocrit
biology,How many different types of taste can be detected by taste buds?,hundreds,three,two,five
biology,What species do humans belong to?,monkeys,homo erectus,hominids,homo sapiens
biology,How many different amino acids make up proteins.,30,14,25,20
biology,What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,hernia,lesions,clots,ulcers
biology,"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual process,distributive selection,similar selection,sexual selection
biology,What structure is made from dna and protein molecules coiled together?,atoms,bacterium,enzymes,chromosome
biology,"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?",biceps,triceps,humerus,ulnar
biology,The bones of the skull are connected by what type of joints?,adjustable,semi-mobile,pivoting,immovable
biology,What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,bundle sheth cell,cuticle,guard cell,meristem
biology,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,blood,ancestors,skeletons,excretions
biology,The passing of traits from parents to offspring is done through what?,blood,sperm,egg,dna
biology,"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",amniotic fluid,large arteries,white blood cells,tiny blood vessels
biology,The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,peripheral tube,cell tube,occular tube,neural tube
biology,In what way do all vertebrates reproduce?,biologically,mitosis,asexually,sexually
biology,"First, high temperature denatures proteins and does what to cells?",exposes them,finds them,develops them,kills them
biology,What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,organism,atom,proteins,cell
biology,"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",catalytic,hydrophylic,saturated,hydrophobic
biology,"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",consciousness,hypothesis,hibernation,homeostasis
biology,"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",skin tissue,nucleus tissue,intestine tissue,connective tissue
biology,What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,emphysema,leukemia,lung cancer,pneumonia
biology,What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,invasive speciation,extinction,complementary speciation,sympatric speciation
biology,What environment do animals with gills live in?,cold,air,underground,water
biology,What are living things that obtain glucose by eating self feeders called?,viruses,producers,chimeras,heterotrophs
biology,Virtually every task performed by living organisms requires this?,metals,solids,mineral,energy
biology,The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,fats,proteins,amino acids,antibodies
biology,What muscles are used to pump water over the gills?,muscles and pharynx,pharynx and tonsils,lungs and pharynx,jaws and pharynx
biology,What are made of long chains consisting almost solely of carbon and hydrogen?,proteins,nucleic acids,enzymes,lipids
biology,Inserting copies of normal genes into a patient with defective genes is known as?,chromosome treatment,pattern therapy,cloning,gene therapy
biology,What type of reproduction usually occur during times of environmental stress?,asexual reproduction,internal reproduction,hysterical reproduction,sexual reproduction
biology,What is the rigid layer that is found outside the cell membrane and surrounds the cell?,cell root,cell barrier,cell shield,cell wall
biology,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,malignant,toxic,persistent,benign
biology,What supports and protects the soft organs of the body?,Muscle,Skin,skull,skeleton
biology,What helps the plasma membrane keep its shape?,cytoplasm,molecules of carbohydrates,molecules of oxygen,molecules of cholesterol
biology,What type of reproduction only involves one parent?,binary,primitive,organic,asexual
biology,"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?",puberty,photosynthesis,meiosis,cell cycle
biology,The spermatids are transported from the testes to where?,vas,abdominis,Duodenum,epididymis
biology,How does water from roots reach the leaves?,water-phobic cells,water - combining cells,water - raising cells,water-conducting cells
biology,What makes and stores pigments that give petals and fruit their orange and yellow colors?,pores,sporozoans,protozoa,chromoplasts
biology,What is another term for nearsightedness?,anemia,hypoxia,glaucoma,myopia
biology,"What organ is subdivided into ascending, descending, transverse and sigmoid parts?",lungs,heart,uterus,colon
biology,What are variants of genes called?,allergens,antigens,mutations,alleles
biology,"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?",seeds,spores,bacteria,fungi
biology,Comparing what sequences provides clues to evolution and development?,organisms,DNA,genes,genome
biology,"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.",cellulose,cytoplasm,glucogen,lignin
biology,What does the cell cycle do?,only reproduce cells,only divide cells,create new cells,divide and reproduce cells
biology,Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,solar,thermal,mechanical,radiation
biology,Which kind of genetics approach involves mutating or deleting genes provides researchers with clues about gene function?,inverse genetics,possible genetics,impossible genetics,reverse genetics
biology,For what purpose does liver use the excess carbohydrate?,convert starches,process sugar,dilute carbohydrates,to synthesize glycogen
biology,Where do polychaete worms live?,in coral reefs,in tide pools,attached to marine life,the ocean floor
biology,What is the study of how and why plants and animals live where they do?,lithography,geomorphology,heredity,biogeography
biology,Muscles that position the pectoral girdle are located either on the anterior thorax or on this?,analogous thorax,posterior thorax,inferred thorax,posterior thorax
biology,What are the two major types of seed plants called?,deciduous and evergreen,perennials and annuals,flowers and fruits,gymnosperms and angiosperms
biology,What do we call the energy-rich product of photosynthesis?,insulin,chloride,sugar,glucose
biology,How is oxygen transferred into the bloodstream?,brain diffusion,mean diffusion,hard diffusion,simple diffusion
biology,What is the usual treatment for acute bronchitis?,pesticides,surgery,physical therapy,antibiotics
biology,What are generally divided into prosimian and non-prosimian?,insects,carnivores,rodents,primates
biology,Angiosperms are also known as what?,dead plants,dry plants,uncommon plants,flowering plants
biology,An estimated 100 trillion of these live in the gut of an average person?,algae,viruses,pathogens,bacteria
biology,"The ability to regulate what, which is possessed by mammals, was an advantage as earth’s climate went through sudden and dramatic changes?",hair growth,mutations,reflex behaviors,body temperature
biology,"What is the term for very large arrays of tandemly repeating, non-coding dna?",addition dna,recombinant dna,models dna,satellite dna
biology,"When animals get rid of their gaseous waste, what is exhaled through their mouth and nose?",hydrogen,oxygen,carbon monoxide,carbon dioxide
biology,A nerve cell that carries messages is called a?,platelet,mitochondria,stem cell,neuron
biology,What group of animals are the largest arthropods?,spiders,birds,fish,insects
biology,What term describes a collection of similar cells that had a common embryonic origin?,nucleus,organ-level organization,plasma,tissue
biology,The name of a spinal cord region corresponds to the level at which spinal nerves pass through the what?,synovial fluid,lumbar foramina,notochord,intervertebral foramina
biology,Tests for levels of what in blood allow a diabetic patient to regulate how much insulin to administer?,protein,alcohol,chloride,glucose
biology,The process of breaking down food into nutrients is known as __________,filtration,energy,absorption,digestion
biology,What is likely to happen to a parasite if it kills its host?,it mutates,it thrives,it adapts,it dies
biology,What is the largest human organ?,lungs,stomach,brain,skin
biology,"In the chest, the trachea divides as it enters the lungs to form the right and left what?",atrium,alveoli,ventricle,bronchi
biology,"What is the long, narrow tube that carries food from the pharynx to the stomach by the mechanism of peristalsis?",spinal cord,gallbladder,liver,esophagus
biology,What are the 2 primary hosts of ebola in central africa?,lions and elephants,hyenas and apes,apes and hippos,apes and bats
biology,What important organelle (that would otherwise be centrally located and crucial to the cell's survival) do prokaryotic cells lack?,protons,electrons,molecules,nucleus
biology,What creatures evolved from a lobe-finned lungfish ancestor?,mice,birds,horses,amphibians
biology,What are flagellate protozoa that cause giardiasis?,plankton,diatoms,fungus,giardia
biology,"Rna and dna are types of what biochemical compounds containing the elements carbon, hydrogen, oxygen, nitrogen, and phosphorus?",amino acids,hormones,nitrous acids,nucleic acids
biology,What basic plant structure facilitates dispersal of pollen and fruit by raising reproductive structures?,flower,root,leaf,stem
biology,Which part of the ear amplifies the sound waves?,cochlea,eardrum,ear canal,middle ear
biology,The shape of a virus is determined by the type and arrangement of proteins in its what?,nuclei,enamel,anode,capsid
biology,The process in which organ systems work to maintain a stable internal environment is called what?,ketosis,consciousness,thrombosis,homeostasis
biology,The function of which organ is to filter blood and form urine?,gallbladder,liver,lungs,kidneys
biology,"The cell wall acts as an extra layer of protection, helps the cell maintain its shape, and prevents what?",Respiration,extinction,exhaustion,dehydration
biology,What's another term for egg-laying mammals?,herbivores,viviparus,amphibians,monotremes
biology,All animals that derive energy from food are classified as what?,heliotrophs,lifeforms,paleotrophs,heterotrophs
biology,Through which process is the human gene for insulin placed into bacteria?,absorption,migration,mutation,transformation
biology,What is a symbiotic relationship in which both species benefit?,inorganic,detrimental,parasitism,mutualism
biology,What is the term for longer chains of monosaccharides ?,oligosaccharides,proteins,hydrocarbons,polysaccharides
biology,"During photosynthesis, what is energy from the sun converted to after entering a plant?",Proteins,Carbon,chloride,glucose
biology,Baroreceptors in the aortic arch and carotid sinuses monitor what level in the body?,temperature,hunger,air intake,blood pressure
biology,"Animals require air, water, and what in order to live and survive?",shade,time,mates,food?
biology,What are mutant versions of normal genes called?,extinction - oncogenes,antecedent - oncogenes,anti-oncogenes,proto-oncogenes
biology,The heart and a network of blood vessels that run throughout the body make up what organ system?,immune system,lymphatic system,respiratory system,cardiovascular system
biology,"Mitosis and meiosis are two types of what process, with dramatically different products?",cell diffusion,cell transition,cell solution,cell division
biology,Many of the hormones are secreted in response to what signals of the body?,heart system signals,nose system signals,skeletal system signals,nervous system signals
biology,What is the largest cartilaginous fish?,sturgeon,dolphin,blue whale,whale shark
biology,"Capillaries in the chorionic villi filter fetal wastes out of the blood and return clean, oxygenated blood to the fetus through what?",skin vein,separates vein,Back Vein,umbilical vein
biology,An excessive posterior curvature of the thoracic region is also known as what?,osmosis,lordosis,babesiosis,kyphosis
biology,What are the two main divisions of the human nervous system?,left and right,somatic and autonomic,central and identical,central and peripheral
biology,What is composed of two strands of nucleotides in a double-helical structure?,bacteria,molecule,RNA,dna
biology,The body is made up of how many types of tissue?,six,five,seven,four
chemistry,What type of ions do ionic compounds contain?,negative and neutal,regular and irregular,positive and charged,positive and negative
chemistry,The cells of all eukarya have a what?,necrosis,chloroplast,epidermis,nucleus
chemistry,What type of plate boundaries produce huge mountain ranges in the ocean basin?,tractional,coherent,parallel,divergent
chemistry,Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,nitrogen,hydrogen,oxygen,carbon
chemistry,What are the sites of protein synthesis or assembly?,plasma,chloroplasts,chromosomes,ribosomes
chemistry,What must replicate in the cell cycle before meiosis i takes place?,meiotic fluid,cell walls,sperm,dna
chemistry,Gases are most ideal at high temperature and what pressure?,stable,absolute,high,low
chemistry,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,vitamin C,niacin,vitamin A,vitamin d
chemistry,What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,iseotrops,hormones,carbohydrates,enzymes
chemistry,The formation of an amalgam allows the metal to react with what?,blood and sweat,helium and oxygen,cloth and plastic,air and water
chemistry,What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,peptides,amines,enzymes,alkenes
chemistry,"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",such limit,done limit,crippling limit,no limit
chemistry,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice crushing,ice locking,ice inverting,ice wedging
chemistry,What type of reactions form compounds?,physical reactions,mineral reactions,consumption reactions,chemical reactions
chemistry,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",homogeneity,saturation,peak,equilibrium
chemistry,What is the boiling and freezing point of water in celcius?,212 degrees c and 32 degrees c,100 degrees c and 32 degrees c,212 degrees c and 0 degrees c,100 degrees c and 0 degrees c
chemistry,Compounds like sodium chloride form structures called what?,hydrocarbons,ions,microorganisms,crystals
chemistry,"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?",neutrons,protons,positrons,electrons
chemistry,"Ammonia, urea, and uric acid are examples of what kind of waste?",oxygenous,carbonous,sulphurous,nitrogenous
chemistry,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,radiation,liquid,electrical,chemical
chemistry,"Despite its small size, an erythrocyte contains about 250 million molecules of what?",potassium,calcium,plasma,hemoglobin
chemistry,How many variables are used to describe the condition of a gas?,three,five,one,four
chemistry,How many naturally occurring elements are known on earth?,87,85,60,90
chemistry,What property of warm air causes it to rise above cold air?,higher temperature,greater pressure,greater density,lower density
chemistry,The denser regions of the electron cloud are called what?,isotopes,cores,lattices,orbitals
chemistry,The simplest class of organic compounds is the what?,gas,particles,Phenols,hydrocarbons
chemistry,What is the name of the two metalloids in the carbon group called?,silver and gold,titantium and copper,silicon and gold,silicon and germanium
chemistry,"In qualitative analysis, reagents are added to an unknown chemical mixture in order to induce what?",erosion,motion,sunlight,precipitation
chemistry,Saturn is made mostly of helium and what else?,hydrogen,nitrogen,carbon,hydrogen
chemistry,What are alkenes organic compounds that contain one or more double or triple bonds between carbon atoms described as?,strong,saturated,insulated,unsaturated
chemistry,"Electrons in covalent compounds are shared between the two atoms, unlike the case in what type of bonds?",soluble bonds,horizontal bonds,weak bonds,ionic bonds
chemistry,What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,evaporating point,freezing point,burning point,boiling point
chemistry,Titration is a method to determine what in acids or bases?,glucose,alkalinity,maturation,concentration
chemistry,In a glass of sweet tea the sugar is known as the solute and the water is known as what?,calcium,pigment,solid,solvent
chemistry,"What substances, which are distinct from acids and bases, form when ions form ionic bonds?",water molecules,oils,vitamins,salts
chemistry,Who created the periodic table?,Niels Bohr,Isaac Newton,Gregor Mendel,dmitri mendeleev
chemistry,"At the anode, liquid chloride ions are oxidized to what?",Heavy Gas,elemental gas,nitrogen gas,chlorine gas
chemistry,Elements that specifically are noted to have properties of both metals and nonmetals are known as what?,alkali metals,compund metals,alloys,metalloids
chemistry,What are the ionic compounds that produce negative hydroxide ions when dissolved in water?,enzymes,isotopes,acids,bases
chemistry,What is the apparatus used for carrying out an electrolysis reaction?,an aqueous cell,Golgi apparatus,catalyst,an electrolytic cell
chemistry,What is another word for saturated hydrocarbons?,aldehydes,catalysts,enzymes,alkanes
chemistry,What is the energy needed to start a reaction between catalysts and reactants called?,conductivity energy,reaction energy,decomposition energy,activation energy
chemistry,Carbon is a nonmetal with a significantly higher electronegativity; it is therefore more likely to accept electrons in what kind of reaction?,isotope reaction,reversable reaction,catalyst reaction,redox reaction
chemistry,Some reactions need extra help to occur quickly. they need another substance called what?,hormone,neurotransmitter,protein,a catalyst
chemistry,Catalysts can greatly increase the rates of chemical what?,effects,photosynthesis,decay,reactions
chemistry,What element is released into the atmosphere by the burning of fossil fuels?,oxygen,carbon,helium,sulfur
chemistry,What type of hydrocarbons contain at least one double or triple bond between carbon atoms?,saturated,ionic,catalytic,unsaturated
chemistry,Testing what usually requires making observations or performing experiments?,homeostasis,variables,conclusion,hypothesis
chemistry,"In the presence of oxygen, hydrogen can interact to make what?",acid,carbon,helium,water
chemistry,Red litmus paper turns what color when placed in a basic solution?,pink,white,orange,blue
chemistry,Fats are also called triacylglycerols or triglycerides because of their what?,elemental type,atomic number,chemical weight,chemical structure
chemistry,What are alloys that are mostly composed of mercury known as?,compounds,halogens,fillings,amalgams
chemistry,"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?",entropy,ion exchange,evaporation,energy
chemistry,"Catabolic reactions break down large organic molecules into smaller molecules, releasing the energy contained in what?",crystals bonds,molecular bonds,liquid bonds,chemical bonds
chemistry,"What category of elements are chacterized by their ability to reflect light, called luster, their high electrical and thermal conductivity, their high heat capacity, and their malleability and ductility?",noble gases,halogens,nonmetals,metals
chemistry,"Most biochemical molecules are macromolecules, meaning that they are what?",very abundant,very dense,very small,very large
chemistry,Many objects have color because they contain what?,salts,solvents,vitamins,pigments
chemistry,Alkenes have double bonds while alkynes have what?,quadruple bonds,single bonds,equal bonds,triple bonds
chemistry,What is the term for a mixture of two or more substances that has the same composition throughout?,structure,fluid,simple liquid,solution
chemistry,What is the color of the powder of a mineral?,blue,gray,organic,streak
chemistry,What type of compound is essential to life?,nitrogen,carbon,oxygen,water
chemistry,What do scientist's believe mercury's core is mostly made of?,helium gas,water,quicksilver,melted iron
chemistry,"What material comprises the sun and other stars, as well as lightning and the northern lights?",gas,aurora,gamma,plasma
chemistry,Formic acid is found in the secretions of?,stomach acid,sweat glands,acid rain,stinging ants
chemistry,What do hydrophilic substances have an affinity for?,heat,air,soil,water
chemistry,What is formed when amino acids are linked together in a long chain?,water molecule,amino acid,hormones,protein
chemistry,"Different forms, or allotropes, of carbon are diamond, graphite, and what?",carbonite,ligands,vesicles,fullerenes
chemistry,Zinc reacting with hydrochloric acid produces bubbles of which gas?,mustard,carbon,helium,hydrogen
chemistry,Covalent solutes separate into what when dissolved?,true molecules,second molecules,new molecules,individual molecules
chemistry,"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?",kilocalorie,pollenation,abundance,molarity
chemistry,Hydrochloric acid is formed when hcl is dissolved into what?,plasma,blood,sodium,water
chemistry,Atoms of the same element that have different masses are called what?,mutations,variations,radioactive,isotopes
chemistry,What type of bonds do alkanes only contain?,hydrogen-carbon bonds,hydrogen bonds,carbon-hydrogen bonds,carbon-carbon single bonds
geology,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",motion,velocity,weight,gravity
geology,What galaxy is our solar system a part of?,Bode's Galaxy,Centaurus,Andromeda,milky way
geology,The angle at which light bends when it enters a different medium is known as what?,resonance,bounce,frequency,refraction
geology,Which radio frequency should you listen to if you want less noise?,cb,am,wave,fm
geology,What form of radiation is the energy emitted by the sun?,thermal,seismic,magnetic,electromagnetic
geology,What is the suns innermost layer called?,flare,surface,solar,core
geology,A growth spurt requires constant divisions of what?,proteins,hairs,seeds,cells
geology,What is the name of the zone where water is deeper than 200 meters called?,eccentric zone,transition zone,euphotic zone,aphotic zone
geology,"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?",factories,wars,volcanos,human actions
geology,What phenomenon is primarily the result of plate tectonic motions?,volcanoes,eruption,tsunamis,earthquake
geology,What is the lowest layer of the atmosphere?,lithosphere,ionosphere,chromosphere,troposphere
geology,Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,evaporation,gravity,sunlight,weathering
geology,Runoff is likely to cause more what if the land is bare?,weathering,abrasion,sediment,erosion
geology,"Felsic, intermediate, mafic, and ultramafic are types of composition of what rock group?",metamorphic,Sedimentary,asteroids,igneous
geology,What type of rocks form from cooled magma or lava?,metamorphic,granite,sedementary,igneous
geology,What are the two main types of sedimentary rocks?,basalt and dolomite,sandstone and shale,shale and limestone,clastic and chemical
geology,"As per hutton's unconformity, what happened to the intermediate layers of rock?",they expanded,they metamorphized,they fused,they eroded away
geology,Most liquid freshwater is under the ground in layers of what?,soil,forest,sand,rock
geology,"Weathering is fundamental to the creation of what, which exists as a very thin layer over solid rock?",aquifers,fungus,moss,soil
geology,What type of weathering causes the minerals in a rock to change?,artificial,toxic,natural,chemical
geology,How are classic sedimentary rocks group?,color,particle depth,density,size of sediment
geology,What is the process that breaks down rocks into smaller pieces?,bleaching,erosion,bracing,weathering
geology,"If a sedimentary rock layer is not horizontal, what is it?",igneous,striated,mineralized,deformed
geology,"The term ""environment of deposition"" is useful for understanding the characteristics of what type of rock?",limestone,glacial,meteor,sedimentary
geology,Glaciers are incredibly powerful agents of what?,extinction,climate change,insulation,erosion
geology,What rocks are formed by crystallization of chemical precipitates?,layered,volcanic,carbon sedimentary,chemical sedimentary
geology,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",fresh zones,inhabitable zones,hostile zones,dead zones
geology,How many people die from air pollution each year?,5 million,14 million,17 million,22 million
geology,Which cycle tracks the flow of nitrogen through an ecosystem?,life cycle,nitrogen reaction,water cycle,nitrogen cycle
geology,Transform faults are the site of massive what?,tornadoes,vibrations,storms,earthquakes
